TOPchampId,TOPkeyRune,TOPspell1,TOPspell2,JNGchampId,JNGkeyRune,JNGspell1,JNGspell2,MIDchampId,MIDkeyRune,MIDspell1,MIDspell2,ADCchampId,ADCkeyRune,ADCspell1,ADCspell2,SUPchampId,SUPkeyRune,SUPspell1,SUPspell2
15,0,4,0,61,4,4,9,52,4,4,5,47,3,4,7,12,8,4,5
15,8,4,0,135,14,4,9,64,0,4,5,21,2,4,7,124,8,4,1
0,2,4,0,35,3,4,9,45,3,4,5,64,0,4,0,12,7,4,5
43,2,4,0,119,2,4,9,1,4,4,8,26,11,4,7,86,14,4,5
17,13,4,0,35,3,4,9,39,2,4,5,26,11,4,7,34,14,4,5
67,8,4,0,35,4,4,9,79,4,4,5,47,1,4,7,140,8,4,5
2,4,4,0,79,1,4,9,82,8,4,5,26,11,4,7,111,15,4,5
43,2,4,0,40,10,4,9,138,7,4,0,64,0,4,7,17,15,4,5
62,2,4,0,135,14,4,9,2,4,4,5,26,11,4,7,140,8,4,5
0,13,4,0,78,4,4,9,52,4,4,5,64,0,4,1,13,15,4,5
116,2,4,0,35,3,4,9,5,4,4,0,46,3,4,7,13,15,4,5
43,2,4,0,56,4,4,9,116,2,4,0,130,0,4,7,111,15,4,5
22,2,4,5,54,4,4,9,109,7,4,7,64,0,4,7,75,7,4,5
28,2,4,0,42,4,4,9,60,4,4,5,64,0,4,7,124,8,4,1
43,2,4,0,24,4,4,9,73,7,4,0,47,0,4,7,50,7,4,5
15,0,4,0,43,0,4,9,60,4,4,5,64,0,4,7,49,7,4,1
15,0,4,0,129,0,4,9,68,7,4,0,118,0,4,7,105,7,4,2
134,13,4,0,118,0,4,9,65,7,4,5,140,8,4,7,72,4,4,5
19,2,4,0,118,0,4,9,68,7,4,0,64,0,4,0,41,7,4,5
93,2,4,0,35,3,4,9,117,8,4,2,45,3,4,7,27,14,4,5
43,2,4,0,57,0,4,9,29,4,4,5,112,7,4,0,88,15,4,5
32,9,4,0,97,6,5,9,137,7,4,2,46,3,4,7,26,11,4,1
120,8,4,0,57,0,4,9,126,7,4,2,64,0,4,7,113,14,4,5
32,13,4,5,70,2,4,9,123,8,4,2,46,3,4,7,3,14,4,5
33,3,4,0,132,16,4,9,9,8,4,0,64,0,4,7,65,7,4,5
28,13,4,0,43,10,4,9,124,8,4,5,46,3,4,7,27,14,4,5
22,13,4,0,43,2,4,9,116,2,4,5,114,0,4,7,75,7,4,1
127,4,4,5,22,3,4,9,29,4,4,5,47,0,4,7,124,8,4,5
43,2,4,5,36,6,6,9,139,7,4,5,14,3,4,7,65,7,4,1
19,2,4,0,70,0,4,9,66,8,4,2,64,0,4,0,75,7,4,5
43,2,4,0,25,4,4,9,20,4,4,5,64,0,4,7,105,7,4,2
2,4,4,5,25,4,4,9,20,4,4,0,120,8,4,7,37,4,4,5
39,2,4,0,35,3,4,9,139,4,4,5,21,2,4,7,86,6,4,5
91,0,4,0,79,1,4,9,51,8,4,5,64,0,4,7,75,7,4,5
91,2,4,0,56,4,4,9,20,4,4,5,45,3,4,7,74,7,4,5
43,2,4,0,34,14,4,9,30,4,4,5,64,0,4,7,27,7,4,5
0,8,4,0,35,3,4,9,123,4,4,2,47,3,4,7,138,8,4,5
32,2,4,0,43,0,4,9,123,8,4,0,21,2,4,7,65,7,4,5
60,4,4,5,56,4,4,9,134,2,4,0,73,15,4,0,62,14,4,5
106,9,4,0,36,5,6,9,133,2,4,5,45,3,4,2,27,8,4,5
67,8,4,0,109,4,4,9,44,7,4,5,26,11,4,7,74,7,4,5
120,14,4,0,25,4,4,9,1,4,4,5,127,4,4,0,13,15,4,5
83,14,4,0,115,0,4,9,16,9,4,6,137,8,4,7,49,7,4,5
39,2,4,0,25,4,4,9,1,4,4,5,21,2,4,7,41,7,4,1
32,9,4,0,79,1,4,9,136,4,4,5,45,3,4,7,27,14,4,5
98,13,4,0,15,4,4,9,2,4,4,5,64,0,4,7,75,7,4,5
116,2,4,5,92,3,4,9,1,4,4,5,71,2,4,7,77,14,4,5
